"""X"",""Y"",""OBJECTID"",""src_geo"",""clc_quartier"",""clc_secteur"",""id_arbre"",""haut_tot"",""haut_tronc"",""tronc_diam"",""fk_arb_etat"",""fk_stadedev"",""fk_port"",""fk_pied"",""fk_situation"",""age_estim"",""villeca"",""feuillage"",""remarquable"",""lng"",""lat"""
"1718274.9078,8292393.3613,97,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""70"",9,2,110,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.2539989438066,49.8305099158361"
"1718306.315,8292411.0635,98,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""71"",8,3,100,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25443628695423,49.8306681218091"
"1718347.1074,8292434.2717,100,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""73"",10,2,135,""en_place"",""adulte"",""réduit_relâché"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.25500433267993,49.8308755444407"
"1718358.9511,8292441.3456,101,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""74"",10,2,135,""en_place"",""adulte"",""réduit_relâché"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.25516927613527,49.8309387844981"
"1718369.4793,8292446.9961,102,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""75"",10,2,150,""en_place"",""adulte"",""réduit_relâché"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.25531586958756,49.8309892670323"
"1718380.1008,8292453.279,103,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""76"",10,3,130,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25546378967989,49.8310454321471"
"1718395.5928,8292462.4025,104,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""77"",10,3,170,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25567953740029,49.8311269880084"
"1718408.5878,8292469.3682,105,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""78"",10,3,160,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.2558604792689,49.8311892194543"
"1718420.0471,8292476.5307,106,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""79"",10,3,155,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25602008630148,49.8312532665126"
"1718490.7131,8292518.8423,107,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""80"",10,3,190,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25700425588425,49.8316315218396"
"1718504.427,8292527.8663,108,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""81"",10,4,115,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25719529021242,49.831712234457"
"1718516.9672,8292536.1226,109,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""82"",10,2,140,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25736997569236,49.8317860805376"
"1718529.1971,8292544.6593,110,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""83"",11,3,170,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25754036204169,49.8318624567532"
"1718541.8657,8292553.5599,111,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""84"",9,4.5,140,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25771686361772,49.8319420909681"
"1718569.3199,8292572.9486,112,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""85"",11,3,150,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25809936795247,49.832115566287"
"1718580.0691,8292580.5399,113,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""86"",11,3,150,""en_place"",""adulte"",""réduit_relâché"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.25824913140615,49.832183487114"
"1718594.1357,8292590.474,114,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""87"",10,4.5,145,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25844511522981,49.8322723691327"
"1718607.7335,8292600.1,115,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""88"",10,4.5,125,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25863456922921,49.8323584952113"
"1718619.5627,8292608.5012,116,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""89"",10,3,160,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25879938369402,49.8324336636426"
